imdb_id,actors,awards,box_office,country,director,dvd,genre,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,response,runtime,title,tomato_consensus,tomato_fresh,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,type,website,writer,year
tt1375666,"Leonardo DiCaprio, Joseph Gordon-Levitt, Ellen Page, Tom Hardy",Won 4 Oscars. Another 143 wins & 198 nominations.,N/A,"USA, UK",Christopher Nolan,07 Dec 2010,"Action, Adventure, Sci-Fi",8.8,"1,462,859","English, Japanese, French",74,"A thief, who steals corporate secrets through use of dream-sharing technology, is given the inverse task of planting an idea into the mind of a CEO.",http://ia.media-imdb.com/images/M/MV5BMjAxMzY3NjcxNF5BMl5BanBnXkFtZTcwNTI5OTM0Mw@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,16 Jul 2010,True,148 min,Inception,"Smart, innovative, and thrilling, Inception is that rare summer blockbuster that succeeds viscerally as well as intellectually.",285,certified,86,8.1,331,46,91,4.2,564497,movie,N/A,Christopher Nolan,2010
tt1228705,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Scarlett Johansson",Nominated for 1 Oscar. Another 7 wins & 40 nominations.,N/A,USA,Jon Favreau,28 Sep 2010,"Action, Adventure, Sci-Fi",7.0,"521,017","English, French, Russian",57,"With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.",http://ia.media-imdb.com/images/M/MV5BMTM0MDgwNjMyMl5BMl5BanBnXkFtZTcwNTg3NzAzMw@@._V1_SX300.jpg,Paramount Studios,PG-13,07 May 2010,True,124 min,Iron Man 2,"It isn't quite the breath of fresh air that Iron Man was, but this sequel comes close with solid performances and an action-packed plot.",200,certified,72,6.5,276,76,72,3.7,475557,movie,N/A,"Justin Theroux (screenplay), Stan Lee (Marvel comic book), Don Heck (Marvel comic book), Larry Lieber (Marvel comic book), Jack Kirby (Marvel comic book)",2010
tt1323594,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews",Nominated for 1 Golden Globe. Another 3 wins & 38 nominations.,N/A,"USA, France","Pierre Coffin, Chris Renaud",14 Dec 2010,"Animation, Comedy, Family",7.7,"384,668",English,72,"When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.",http://ia.media-imdb.com/images/M/MV5BMTY3NjY0MTQ0Nl5BMl5BanBnXkFtZTcwMzQ2MTc0Mw@@._V1_SX300.jpg,Universal Pictures,PG,09 Jul 2010,True,95 min,Despicable Me,"Borrowing heavily (and intelligently) from Pixar and Looney Tunes, Despicable Me is a surprisingly thoughtful, family-friendly treat with a few surprises of its own.",155,certified,81,6.8,192,37,82,4.0,265592,movie,N/A,"Cinco Paul (screenplay), Ken Daurio (screenplay), Sergio Pablos (story)",2010
tt1130884,"Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley, Max von Sydow",8 wins & 59 nominations.,N/A,USA,Martin Scorsese,08 Jun 2010,"Mystery, Thriller",8.1,"783,045","English, German",63,A U.S Marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane.,http://ia.media-imdb.com/images/M/MV5BMTMxMTIyNzMxMV5BMl5BanBnXkFtZTcwOTc4OTI3Mg@@._V1_SX300.jpg,Paramount Studios,R,19 Feb 2010,True,138 min,Shutter Island,"It may not rank with Scorsese's best work, but Shutter Island's gleefully unapologetic genre thrills represent the director at his most unrestrained.",165,fresh,68,6.6,241,76,76,3.3,2371555,movie,N/A,"Laeta Kalogridis (screenplay), Dennis Lehane (novel)",2010
tt0926084,"Bill Nighy, Emma Watson, Richard Griffiths, Harry Melling",Nominated for 2 Oscars. Another 14 wins & 51 nominations.,N/A,"UK, USA",David Yates,15 Apr 2011,"Adventure, Family, Fantasy",7.7,"327,090",English,65,"As Harry races against time and evil to destroy the Horcruxes, he uncovers the existence of three most powerful objects in the wizarding world: the Deathly Hallows.",http://ia.media-imdb.com/images/M/MV5BMTQ2OTE1Mjk0N15BMl5BanBnXkFtZTcwODE3MDAwNA@@._V1_SX300.jpg,Warner Bros. Pictures,PG-13,19 Nov 2010,True,146 min,Harry Potter and the Deathly Hallows: Part 1,"It can't help but feel like the prelude it is, but Deathly Hallows: Part I is a beautifully filmed, emotionally satisfying penultimate installment for the Harry Potter series.",203,certified,78,7.1,260,57,85,4.1,348855,movie,N/A,"Steve Kloves (screenplay), J.K. Rowling (novel)",2010
tt0892769,"Jay Baruchel, Gerard Butler, Craig Ferguson, America Ferrera",Nominated for 2 Oscars. Another 25 wins & 58 nominations.,N/A,USA,"Dean DeBlois, Chris Sanders",15 Oct 2010,"Animation, Adventure, Family",8.2,"484,361",English,74,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",http://ia.media-imdb.com/images/M/MV5BMjA5NDQyMjc2NF5BMl5BanBnXkFtZTcwMjg5ODcyMw@@._V1_SX300.jpg,Paramount/DWA,PG,26 Mar 2010,True,98 min,How to Train Your Dragon,"Boasting dazzling animation, a script with surprising dramatic depth, and thrilling 3-D sequences, How to Train Your Dragon soars.",197,certified,98,7.9,201,4,91,4.2,309729,movie,N/A,"William Davies (screenplay), Dean DeBlois (screenplay), Chris Sanders (screenplay), Cressida Cowell (book)",2010
tt1250777,"Aaron Taylor-Johnson, Garrett M. Brown, Evan Peters, Deborah Twiss",16 wins & 61 nominations.,N/A,"UK, USA",Matthew Vaughn,03 Aug 2010,"Action, Comedy",7.7,"435,003",English,66,"Dave Lizewski is an unnoticed high school student and comic book fan who one day decides to become a superhero, even though he has no powers, training or meaningful reason to do so.",http://ia.media-imdb.com/images/M/MV5BMTMzNzEzMDYxM15BMl5BanBnXkFtZTcwMTc0NTMxMw@@._V1_SX300.jpg,Lionsgate,R,16 Apr 2010,True,117 min,Kick-Ass,"Not for the faint of heart, Kick-Ass takes the comic adaptation genre to new levels of visual style, bloody violence, and gleeful profanity.",186,certified,76,7.1,245,59,81,3.9,284138,movie,N/A,"Jane Goldman (screenplay), Matthew Vaughn (screenplay), Mark Millar (comic book), John Romita Jr. (comic book)",2010
tt0435761,"Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty",Won 2 Oscars. Another 57 wins & 89 nominations.,N/A,USA,Lee Unkrich,02 Nov 2010,"Animation, Adventure, Comedy",8.3,"543,855","English, Spanish",92,"The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.",http://ia.media-imdb.com/images/M/MV5BMTgxOTY4Mjc0MF5BMl5BanBnXkFtZTcwNTA4MDQyMw@@._V1_SX300.jpg,Walt Disney Pictures,G,18 Jun 2010,True,103 min,Toy Story 3,"Deftly blending comedy, adventure, and honest emotion, Toy Story 3 is a rare second sequel that really works.",286,certified,99,8.9,290,4,89,4.3,603568,movie,N/A,"John Lasseter (story by), Andrew Stanton (story by), Lee Unkrich (story by), Michael Arndt (screenplay)",2010
tt1014759,"Johnny Depp, Mia Wasikowska, Helena Bonham Carter, Anne Hathaway",Won 2 Oscars. Another 32 wins & 62 nominations.,N/A,USA,Tim Burton,01 Jun 2010,"Adventure, Family, Fantasy",6.5,"305,523",English,53,"Nineteen-year-old Alice returns to the magical world from her childhood adventure, where she reunites with her old friends and learns of her true destiny: to end the Red Queen's reign of terror.",http://ia.media-imdb.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_SX300.jpg,Walt Disney Pictures,PG,05 Mar 2010,True,108 min,Alice in Wonderland,Tim Burton's Alice sacrifices the book's minimal narrative coherence -- and much of its heart -- but it's an undeniable visual treat.,135,rotten,52,5.7,262,127,55,3.5,479204,movie,N/A,"Linda Woolverton (screenplay), Lewis Carroll (books)",2010
tt0947798,"Natalie Portman, Mila Kunis, Vincent Cassel, Barbara Hershey",Won 1 Oscar. Another 87 wins & 244 nominations.,N/A,USA,Darren Aronofsky,29 Mar 2011,"Drama, Thriller",8.0,"550,547","English, French, Italian",79,"A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",http://ia.media-imdb.com/images/M/MV5BNzY2NzI4OTE5MF5BMl5BanBnXkFtZTcwMjMyNDY4Mw@@._V1_SX300.jpg,Fox Searchlight,R,17 Dec 2010,True,108 min,Black Swan,"Bracingly intense, passionate, and wildly melodramatic, Black Swan glides on Darren Aronofsky's bold direction -- and a bravura performance from Natalie Portman.",238,certified,86,8.2,275,37,84,4.0,175779,movie,N/A,"Mark Heyman (screenplay), Andres Heinz (screenplay), John J. McLaughlin (screenplay), Andres Heinz (story)",2010
