imdb_id,actors,awards,box_office,country,director,dvd,episode,genre,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,response,runtime,season,series_id,title,tomato_consensus,tomato_fresh,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,type,website,writer,year
tt1431045,"Ryan Reynolds, Karan Soni, Ed Skrein, Michael Benyaer",2 wins & 10 nominations.,N/A,USA,Tim Miller,10 May 2016,,"Action, Adventure, Comedy",8.1,"467,718",English,65,"A former Special Forces operative turned mercenary is subjected to a rogue experiment that leaves him with accelerated healing powers, adopting the alter ego Deadpool.",http://ia.media-imdb.com/images/M/MV5BMjQyODg5Njc4N15BMl5BanBnXkFtZTgwMzExMjE3NzE@._V1_SX300.jpg,20th Century Fox,R,12 Feb 2016,True,108 min,,,Deadpool,"Fast, funny, and gleefully profane, the fourth-wall-busting Deadpool subverts superhero film formula with wildly entertaining -- and decidedly non-family-friendly -- results.",226,certified,84,6.9,270,44,91,4.3,176647,movie,N/A,"Rhett Reese, Paul Wernick, Fabian Nicieza (character), Rob Liefeld (character)",2016
tt2975590,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg",5 nominations.,N/A,USA,Zack Snyder,N/A,,"Action, Adventure, Sci-Fi",6.9,"355,257",English,44,"Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.",http://ia.media-imdb.com/images/M/MV5BYThjYzcyYzItNTVjNy00NDk0LTgwMWQtYjMwNmNlNWJhMzMyXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,N/A,PG-13,25 Mar 2016,True,151 min,,,Batman v Superman: Dawn of Justice,Batman v Superman: Dawn of Justice smothers a potentially powerful story -- and some of America's most iconic superheroes -- in a grim whirlwind of effects-driven action.,94,rotten,27,4.9,343,249,65,3.6,218592,movie,N/A,"Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by)",2016
tt3498820,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan",11 nominations.,$770579,"USA, Germany","Anthony Russo, Joe Russo",N/A,,"Action, Adventure, Sci-Fi",8.2,"264,088","English, German, Xhosa, Russian, Romanian",75,Political interference in the Avengers' activities causes a rift between former allies Captain America and Iron Man.,http://ia.media-imdb.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_SX300.jpg,Walt Disney Pictures,PG-13,06 May 2016,True,147 min,,,Captain America: Civil War,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,283,certified,90,7.6,315,32,90,4.4,156346,movie,N/A,"Christopher Markus (screenplay), Stephen McFeely (screenplay), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)",2016
tt2948356,"Ginnifer Goodwin, Jason Bateman, Idris Elba, Jenny Slate",1 win & 2 nominations.,$167968,USA,"Byron Howard, Rich Moore, Jared Bush",07 Jun 2016,,"Animation, Action, Adventure",8.2,"169,355","English, Norwegian",78,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.",http://ia.media-imdb.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_SX300.jpg,Walt Disney Animation Studios,PG,04 Mar 2016,True,108 min,,,Zootopia,"The brilliantly well-rounded Zootopia offers a thoughtful, inclusive message that's as rich and timely as its sumptuously state-of-the-art animation -- all while remaining fast and funny enough to keep younger viewers entertained.",210,certified,98,8.1,214,4,93,4.4,84681,movie,N/A,"Byron Howard (story by), Rich Moore (story by), Jared Bush (story by), Jim Reardon (story by), Josie Trinidad (story by), Phil Johnston (story by), Jennifer Lee (story by), Jared Bush (screenplay), Phil Johnston (screenplay)",2016
tt3385516,"James McAvoy, Michael Fassbender, Jennifer Lawrence, Nicholas Hoult",2 nominations.,$905638,USA,Bryan Singer,N/A,,"Action, Adventure, Sci-Fi",7.3,"142,823","English, Polish, German, Arabic, Egyptian (Ancient)",52,"After the re-emergence of the world's first mutant, world-destroyer Apocalypse, the X-Men must unite to defeat his extinction level plan.",http://ia.media-imdb.com/images/M/MV5BMjU1ODM1MzYxN15BMl5BanBnXkFtZTgwOTA4NDE2ODE@._V1_SX300.jpg,20th Century Fox,PG-13,27 May 2016,True,144 min,,,X-Men: Apocalypse,"Overloaded action and a cliched villain take the focus away from otherwise strong performers and resonant themes, making X-Men: Apocalypse a middling chapter of the venerable superhero franchise.",130,rotten,48,5.7,270,140,71,3.7,117112,movie,N/A,"Simon Kinberg (screenplay), Bryan Singer (story), Simon Kinberg (story), Michael Dougherty (story), Dan Harris (story)",2016
tt2304933,"Chloë Grace Moretz, Matthew Zuk, Gabriela Lopez, Bailey Anne Borders",1 nomination.,N/A,USA,J Blakeson,03 May 2016,,"Action, Adventure, Sci-Fi",5.2,"54,662",English,33,"Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",http://ia.media-imdb.com/images/M/MV5BMjQwOTc0Mzg3Nl5BMl5BanBnXkFtZTgwOTg3NjI2NzE@._V1_SX300.jpg,Sony Pictures,PG-13,22 Jan 2016,True,112 min,,,The 5th Wave,"With unimpressive effects and plot points seemingly pieced together from previous dystopian YA sci-fi films, The 5th Wave ends up feeling like more of a limp, derivative wriggle.",20,rotten,16,4.2,124,104,40,2.9,30598,movie,http://www.laquintaola.com.mx/,"Susannah Grant (screenplay), Akiva Goldsman (screenplay), Jeff Pinkner (screenplay), Rick Yancey (novel)",2016
tt3040964,"Neel Sethi, Bill Murray, Ben Kingsley, Idris Elba",2 nominations.,$311.1M,"UK, USA",Jon Favreau,N/A,,"Adventure, Drama, Family",7.8,"96,221",English,77,"After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo.",http://ia.media-imdb.com/images/M/MV5BMTc3NTUzNTI4MV5BMl5BanBnXkFtZTgwNjU0NjU5NzE@._V1_SX300.jpg,Walt Disney Pictures,PG,15 Apr 2016,True,106 min,,,The Jungle Book,"As lovely to behold as it is engrossing to watch, The Jungle Book is the rare remake that actually improves upon its predecessors -- all while setting a new standard for CGI.",225,certified,95,7.7,238,13,91,4.3,61060,movie,http://movies.disney.com/the-jungle-book-2016,"Justin Marks (screenplay), Rudyard Kipling (book)",2016
tt0918940,"Alexander Skarsgård, Rory J. Saper, Christian Stevens, Christoph Waltz",N/A,N/A,USA,David Yates,N/A,,"Action, Adventure, Drama",6.7,"32,582",English,44,"Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment.",http://ia.media-imdb.com/images/M/MV5BMzY3OTI0OTcyMF5BMl5BanBnXkFtZTgwNjkxNTAwOTE@._V1_SX300.jpg,Lionsgate Pictures,PG-13,01 Jul 2016,True,110 min,,,The Legend of Tarzan,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,28180,movie,http://legendoftarzan.com/,"Adam Cozad (screenplay), Craig Brewer (screenplay), Craig Brewer (story by), Adam Cozad (story by), Edgar Rice Burroughs (based on the 'Tarzan' stories created by)",2016
tt1628841,"Liam Hemsworth, Jeff Goldblum, Jessie T. Usher, Bill Pullman",1 win & 2 nominations.,N/A,USA,Roland Emmerich,N/A,,"Action, Adventure, Sci-Fi",5.5,"49,522",English,32,"Two decades after the first Independence Day invasion, Earth is faced with a new extra-Solar threat. But will mankind's new space defenses be enough?",http://ia.media-imdb.com/images/M/MV5BMjIyMTg5MTg4OV5BMl5BanBnXkFtZTgwMzkzMjY5NzE@._V1_SX300.jpg,20th Century Fox,PG-13,24 Jun 2016,True,120 min,,,Independence Day: Resurgence,"It's undeniably visually impressive, but like its predecessor, Independence Day: Resurgence lacks enough emotional heft to support its end-of-the-world narrative stakes.",51,rotten,30,4.3,169,118,36,2.8,64626,movie,N/A,"Nicolas Wright (screenplay), James A. Woods (screenplay), Dean Devlin (screenplay), Roland Emmerich (screenplay), James Vanderbilt (screenplay), Dean Devlin (story by), Roland Emmerich (story by), Nicolas Wright (story by), James A. Woods (story by), Dean Devlin (based on characters created by), Roland Emmerich (based on characters created by)",2016
tt1179933,"John Goodman, Mary Elizabeth Winstead, John Gallagher Jr., Douglas M. Griffin",N/A,N/A,USA,Dan Trachtenberg,14 Jun 2016,,"Drama, Horror, Mystery",7.3,"121,566",English,76,"After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack.",http://ia.media-imdb.com/images/M/MV5BMjEzMjczOTIxMV5BMl5BanBnXkFtZTgwOTUwMjI3NzE@._V1_SX300.jpg,Bad Robot Productions,PG-13,11 Mar 2016,True,104 min,,,10 Cloverfield Lane,"Smart, solidly crafted, and palpably tense, 10 Cloverfield Lane makes the most of its confined setting and outstanding cast -- and suggests a new frontier for franchise filmmaking.",225,certified,90,7.5,251,26,80,3.9,51382,movie,N/A,"Josh Campbell (story), Matthew Stuecken (story), Josh Campbell (screenplay), Matthew Stuecken (screenplay), Damien Chazelle (screenplay)",2016
