imdb_id,adult,backdrop_path,belongs_to_collection,budget,genres,homepage,tmdb_id,original_language,original_title,overview,tmdb_popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,tmdb_vote_average,tmdb_vote_count
tt0458339,False,/pmZtj1FKvQqISS6iQbkiLg5TAsr.jpg,"{u'backdrop_path': u'/nZSYqitBkAvmoq5IrsGsSWuhSC8.jpg', u'poster_path': u'/2tOgiY533JSFp7OrVlkeRJvsZpI.jpg', u'id': 131295, u'name': u'Captain America Collection'}",140000000,"[Action, Adventure, Science Fiction]",http://captainamerica.marvel.com/,1771,en,Captain America: The First Avenger,"Predominantly set during World War II, Steve Rogers is a sickly man from Brooklyn who's transformed into super-soldier Captain America to aid in the war effort. Rogers must stop the Red Skull – Adolf Hitler's ruthless head of weaponry, and the leader of an organization that intends to use a mysterious device of untold powers for world domination.",4.873485,/dlIPGXPxXQTp9kFrRzn0RsfUelx.jpg,"[{u'name': u'Marvel Studios', u'id': 420}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-07-22,370569774,124,"[{u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'no', u'name': u'Norsk'}, {u'iso_639_1': u'en', u'name': u'English'}]",Released,When patriots become heroes,Captain America: The First Avenger,False,6.4,4673
tt0800369,False,/6UxFfo8K3vcihtUpX1ek2ucGeEZ.jpg,"{u'backdrop_path': u'/FZhEgAes4PX86BJGJPXyZCXHrj.jpg', u'poster_path': u'/7vx64r9HS57yz2T53i31SdmqdEi.jpg', u'id': 131296, u'name': u'Thor Collection'}",150000000,"[Adventure, Fantasy, Action]",http://thor.marvel.com/,10195,en,Thor,"Against his father Odin's will, The Mighty Thor -a powerful but arrogant warrior god -recklessly reignites an ancient war. Thor is cast down to Earth and forced to live among humans as punishment. Once here, Thor learns what it takes to be a true hero when the most dangerous villain of his world sends the darkest forces of Asgard to invade Earth.",3.838337,/bIuOWTtyFPjsFDevqvF3QrD1aun.jpg,"[{u'name': u'Marvel Studios', u'id': 420}, {u'name': u'Marvel Entertainment', u'id': 7505}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-04-21,444115007,115,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Two worlds. One hero.,Thor,False,6.5,4162
tt1270798,False,/39nstYsfjR6ggyKTtB4Joga2fs8.jpg,"{u'backdrop_path': u'/Abnosho2v3bcdvDww6T7Hfeczm1.jpg', u'poster_path': u'/eq2kBgmiagXQgo2S96L8DZ9ou0F.jpg', u'id': 748, u'name': u'X-Men Collection'}",160000000,"[Action, Science Fiction, Adventure]",http://www.x-menfirstclassmovie.com/,49538,en,X-Men: First Class,"Before Charles Xavier and Erik Lensherr took the names Professor X and Magneto, they were two young men discovering their powers for the first time. Before they were arch-enemies, they were closest of friends, working together with other mutants (some familiar, some new), to stop the greatest threat the world has ever known.",0.09707,/7SSm7BfzFoVzmd6fCDccj7qRxc8.jpg,"[{u'name': u'Ingenious Film Partners', u'id': 289}, {u'name': u'Ingenious Media', u'id': 290}, {u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Donners' Company', u'id': 431}, {u'name': u'Dune Entertainment', u'id': 444}, {u'name': u'Dune Entertainment III', u'id': 6332}, {u'name': u'Marvel Entertainment', u'id': 7505}, {u'name': u'Bad Hat Harry Productions', u'id': 9168}, {u'name': u'Big Screen Productions', u'id': 10893}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-05-24,344420111,132,"[{u'iso_639_1': u'de', u'name': u'Deutsch'}, {u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Español'}, {u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'ru', u'name': u'Pусский'}]",Released,Witness the moment that will change our world.,X-Men: First Class,False,7.0,3411
tt1201607,False,/gblLAEIDoWRN0vBLJyFGUZnf6j5.jpg,"{u'backdrop_path': u'/wfnMt6LGqYHcNyOfsuusw5lX3bL.jpg', u'poster_path': u'/eVPs2Y0LyvTLZn6AP5Z6O2rtiGB.jpg', u'id': 1241, u'name': u'Harry Potter Collection'}",125000000,"[Adventure, Family, Fantasy]",http://www.harrypotter.com,12445,en,Harry Potter and the Deathly Hallows: Part 2,"In the second installment of the two-part conclusion, Harry and his best friends, Ron and Hermione, continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills.",3.060028,/fTplI1NCSuEDP4ITLcTps739fcC.jpg,"[{u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Heyday Films', u'id': 7364}, {u'name': u'Moving Picture Company (MPC)', u'id': 20478}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-07-07,1327817822,130,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,It all ends here.,Harry Potter and the Deathly Hallows: Part 2,False,7.6,3295
tt1298650,False,/l7zANdjgTvYqwZUx76Vk0EKpCH5.jpg,"{u'backdrop_path': u'/cnKAGbX1rDkAquF2V1wVkptHDJO.jpg', u'poster_path': u'/1yg63Kl4p872ia4gPQysIZkKhUT.jpg', u'id': 295, u'name': u'Pirates of the Caribbean Collection'}",250000000,"[Adventure, Action, Fantasy]",http://disney.go.com/pirates/index-on-stranger-tides.html#/video/,1865,en,Pirates of the Caribbean: On Stranger Tides,"Captain Jack Sparrow crosses paths with a woman from his past, and he's not sure if it's love -- or if she's a ruthless con artist who's using him to find the fabled Fountain of Youth. When she forces him aboard the Queen Anne's Revenge, the ship of the formidable pirate Blackbeard, Jack finds himself on an unexpected adventure in which he doesn't know who to fear more: Blackbeard or the woman from his past.",2.278264,/jUkGuSC9Kt29rW3x6UiB9zyZr1M.jpg,"[{u'name': u'Walt Disney Pictures', u'id': 2}, {u'name': u'Jerry Bruckheimer Films', u'id': 130}, {u'name': u'Moving Picture Company (MPC)', u'id': 20478}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-05-11,1021683000,136,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'es', u'name': u'Español'}]",Released,Live Forever Or Die Trying.,Pirates of the Caribbean: On Stranger Tides,False,6.3,2915
tt1229238,False,/wLRRjb0GEUCuBMx3YFksg2xyH4S.jpg,"{u'backdrop_path': u'/49L0c5utmm0A4BkeDafM9BOhyBT.jpg', u'poster_path': u'/gwyJPIhCK4Xz2WogeBnhCSQfUek.jpg', u'id': 87359, u'name': u'Mission: Impossible Collection'}",145000000,"[Action, Thriller, Adventure]",http://www.missionimpossible.com/,56292,en,Mission: Impossible - Ghost Protocol,"In the 4th installment of the Mission Impossible series, Ethan Hunt (Cruise) and his team are racing against time to track down a dangerous terrorist named Hendricks (Nyqvist), who has gained access to Russian nuclear launch codes and is planning a strike on the United States. An attempt to stop him ends in an explosion causing severe destruction to the Kremlin and the IMF to be implicated in the bombing, forcing the President to disavow them. No longer being aided by the government, Ethan and his team chase Hendricks around the globe, although they might still be too late to stop a disaster.",3.892326,/s58mMsgIVOFfoXPtwPWJ3hDYpXf.jpg,"[{u'name': u'Paramount Pictures', u'id': 4}, {u'name': u'Skydance Productions', u'id': 6277}, {u'name': u'Bad Robot', u'id': 11461}, {u'name': u'TC Productions', u'id': 21777}, {u'name': u'Revolution Sun Studios', u'id': 76043}, {u'name': u'Kontsept Film Company', u'id': 76067}]","[{u'iso_3166_1': u'CZ', u'name': u'Czech Republic'}, {u'iso_3166_1': u'AE', u'name': u'United Arab Emirates'}, {u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-12-07,694713380,133,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'ru', u'name': u'Pусский'}, {u'iso_639_1': u'fr', u'name': u'Français'}, {u'iso_639_1': u'ar', u'name': u'العربية'}, {u'iso_639_1': u'sv', u'name': u'svenska'}]",Released,No Plan. No Backup. No Choice.,Mission: Impossible - Ghost Protocol,False,6.7,2817
tt1675434,False,/ihWaJZCUIon2dXcosjQG2JHJAPN.jpg,,13000000,"[Drama, Comedy]",,77338,fr,Intouchables,A true story of two men who should never have met - a quadriplegic aristocrat who was injured in a paragliding accident and a young man from the projects.,3.95129,/4mFsNQwbD0F237Tx7gAPotd0nbJ.jpg,"[{u'name': u'Gaumont', u'id': 9}, {u'name': u'TF1 Films Production', u'id': 3823}, {u'name': u'Canal+', u'id': 5358}, {u'name': u'CinéCinéma', u'id': 6301}, {u'name': u'Quad Productions', u'id': 7038}, {u'name': u'Chaocorp', u'id': 7766}, {u'name': u'Ten Films', u'id': 8018}, {u'name': u'TF1', u'id': 22123}]","[{u'iso_3166_1': u'FR', u'name': u'France'}]",2011-11-02,426480871,112,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'fr', u'name': u'Français'}]",Released,Sometimes you have to reach into someone else's world to find out what's missing in your own.,The Intouchables,False,8.1,2667
tt1515091,False,/3jmMRaO8WMjKsf1LWzo6Q6E5zMP.jpg,"{u'backdrop_path': u'/aeLom584FZdu6253WMaYEUCrTdu.jpg', u'poster_path': u'/bsUN9Ph1nUituteKWOhPQGguNXt.jpg', u'id': 102322, u'name': u'Sherlock Holmes Collection'}",125000000,"[Adventure, Action, Crime, Mystery]",http://sherlockholmes2.warnerbros.com/index.html,58574,en,Sherlock Holmes: A Game of Shadows,"There is a new criminal mastermind at large--Professor Moriarty--and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",1.851373,/7OFqsVuS6DlVM10GUD72vCGpQm9.jpg,"[{u'name': u'Village Roadshow Pictures', u'id': 79}, {u'name': u'Silver Pictures', u'id': 1885}, {u'name': u'Lin Pictures', u'id': 2723}, {u'name': u'Warner Bros.', u'id': 6194}, {u'name': u'Wigram Productions', u'id': 23202}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-11-22,334615000,129,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,The Game is Afoot.,Sherlock Holmes: A Game of Shadows,False,6.9,2503
tt1411697,False,/hnu7rEmUXyrRBqlRTd2CzDBUap4.jpg,"{u'backdrop_path': u'/uEtsf26a9RsRDy85MOIv1xAj44x.jpg', u'poster_path': u'/aMmNLuyXvdBih1R5RRHtdtNaS6N.jpg', u'id': 86119, u'name': u'The Hangover Collection'}",80000000,[Comedy],http://hangoverpart2.warnerbros.com/,45243,en,The Hangover Part II,"The Hangover crew heads to Thailand for Stu's wedding. After the disaster of a bachelor party in Las Vegas last year, Stu is playing it safe with a mellow pre-wedding brunch. However, nothing goes as planned and Bangkok is the perfect setting for another adventure with the rowdy group.",1.910616,/hFUsdnUoQDQ02EVlKTyhDTdehEr.jpg,"[{u'name': u'Legendary Pictures', u'id': 923}, {u'name': u'Living Films', u'id': 2877}, {u'name': u'Green Hat Films', u'id': 3527}, {u'name': u'Warner Bros.', u'id': 6194}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-05-25,254455986,102,"[{u'iso_639_1': u'en', u'name': u'English'}, {u'iso_639_1': u'th', u'name': u'ภาษาไทย'}]",Released,The Wolfpack Is Back,The Hangover Part II,False,6.0,2388
tt1318514,False,/caIpcr9xhvRcWfOMRDq3F5iIcLB.jpg,"{u'backdrop_path': u'/mepJpyqVtD6P65vgCU1ngGFEjs5.jpg', u'poster_path': u'/qQrEMycfVN2gRlKTLWGn0QdOnSk.jpg', u'id': 173710, u'name': u'Planet of the Apes (Reboot) Collection'}",93000000,"[Thriller, Action, Drama, Science Fiction]",http://www.apeswillrise.com/,61791,en,Rise of the Planet of the Apes,"Scientist Will Rodman is determined to find a cure for Alzheimer's, the disease which has slowly consumed his father Charles. Will feels certain he is close to a breakthrough and tests his latest serum on apes, noticing dramatic increases in intelligence and brain activity in the primate subjects... Especially Caesar, his pet chimpanzee.",2.598361,/esqXMJv6PiK7GJVRwd2FA3SZUoW.jpg,"[{u'name': u'Ingenious Film Partners', u'id': 289}, {u'name': u'Ingenious Media', u'id': 290}, {u'name': u'Twentieth Century Fox Film Corporation', u'id': 306}, {u'name': u'Dune Entertainment', u'id': 444}, {u'name': u'Dune Entertainment III', u'id': 6332}, {u'name': u'Chernin Entertainment', u'id': 7076}, {u'name': u'Big Screen Productions', u'id': 10893}]","[{u'iso_3166_1': u'US', u'name': u'United States of America'}]",2011-08-03,482860185,105,"[{u'iso_639_1': u'en', u'name': u'English'}]",Released,Evolution Becomes Revolution.,Rise of the Planet of the Apes,False,6.9,2360
