tmdb_id,adult,backdrop_path,genre_ids,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
155,False,/nnMC0BM6XbjIIrT4miYmMtPGcQV.jpg,"[18, 28, 80, 53]",en,The Dark Knight,"Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and District Attorney Harvey Dent, Batman sets out to dismantle the remaining criminal organizations that plague the streets. The partnership proves to be effective, but they soon find themselves prey to a reign of chaos unleashed by a rising criminal mastermind known to the terrified citizens of Gotham as the Joker.",10.317399,/1hRoyzDtpgMU7Dz4JF22RANzQO7.jpg,2008-07-16,The Dark Knight,False,8.05,7618
1726,False,/ZQixhAZx6fH1VNafFXsqa1B8QI.jpg,"[28, 878, 12]",en,Iron Man,"Tony Stark. Genius, billionaire, playboy, philanthropist. Son of legendary inventor and weapons contractor Howard Stark. When Tony Stark is assigned to give a weapons presentation to an Iraqi unit led by Lt. Col. James Rhodes, he's given a ride on enemy lines. That ride ends badly when Stark's Humvee that he's riding in is attacked by enemy combatants. He survives - barely - with a chest full of shrapnel and a car battery attached to his heart. In order to survive he comes up with a way to miniaturize the battery and figures out that the battery can power something else. Thus Iron Man is born. He uses the primitive device to escape from the cave in Iraq. Once back home, he then begins work on perfecting the Iron Man suit. But the man who was put in charge of Stark Industries has plans of his own to take over Tony's technology for other matters.",5.512968,/s2IG9qXfhJYxIttKyroYFBsHwzQ.jpg,2008-04-30,Iron Man,False,7.22,5652
10681,False,/2nFyTvssbtJMLC6eyYwwZ88gALD.jpg,"[16, 10751]",en,WALL·E,"WALL·E is the last robot left on an Earth that has been overrun with garbage and all humans have fled to outer space. For 700 years he has continued to try and clean up the mess, but has developed some rather interesting human-like qualities. When a ship arrives with a sleek new type of robot, WALL·E thinks he's finally found a friend and stows away on the ship when it leaves.",4.165981,/4qOKgcDcB0SojUIg2syzor1FeL7.jpg,2008-06-22,WALL·E,False,7.6,3825
8681,False,/lcqVBBirzzX520AyOK3k7kXBDJ6.jpg,"[28, 53, 80]",en,Taken,"While vacationing with a friend in Paris, an American girl is kidnapped by a gang of human traffickers intent on selling her into forced prostitution. Working against the clock, her ex-spy father must pull out all the stops to save her. But with his best years possibly behind him, the job may be more than he can handle.",2.713133,/3zlffXmo7QpVBc17QIJWrRfasVr.jpg,2008-02-18,Taken,False,7.15,2807
10764,False,/hfZVY8lMiE7HH1cDc2qzSFF6Kbt.jpg,"[12, 28, 53, 80]",en,Quantum of Solace,"Quantum of Solace continues the adventures of James Bond after Casino Royale. Betrayed by Vesper, the woman he loved, 007 fights the urge to make his latest mission personal. Pursuing his determination to uncover the truth, Bond and M interrogate Mr. White, who reveals that the organization that blackmailed Vesper is far more complex and dangerous than anyone had imagined.",3.050303,/6mlNx0Jiqhg3D7NlANT9pidsgPJ.jpg,2008-10-30,Quantum of Solace,False,6.02,1985
8966,False,/gxHXZFCYguoTgYq6VYahZ6kaFgN.jpg,"[12, 14, 18, 10749]",en,Twilight,"When Bella Swan moves to a small town in the Pacific Northwest to live with her father, she starts school and meets the reclusive Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire. Despite Edward's repeated cautions, Bella can't help but fall in love with him, a fatal move that endangers her own life when a coven of bloodsuckers try to challenge the Cullen clan.",3.732502,/nlvPMLCdum7bkHKmDSMnNLGztmW.jpg,2008-11-20,Twilight,False,5.7,1764
9502,False,/UJwhgwAxU42cm9XKncO9boFAEV.jpg,"[16, 10751]",en,Kung Fu Panda,"When the Valley of Peace is threatened, lazy Po the panda discovers his destiny as the ""chosen one"" and trains to become a kung fu hero, but transforming the unsleek slacker into a brave warrior won't be easy. It's up to Master Shifu and the Furious Five -- Tigress, Crane, Mantis, Viper and Monkey -- to give it a try.",3.417968,/2Paj1nufT0jeSY0G4u3RC31HIGT.jpg,2008-06-04,Kung Fu Panda,False,6.76,1733
1724,False,/cOUnJk61xWbhosPMrMWZmvag1NS.jpg,"[878, 28, 12]",en,The Incredible Hulk,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",3.480983,/qTghl3lO8PhmIxkf8eN5WQQefHI.jpg,2008-06-12,The Incredible Hulk,False,6.07,1703
4922,False,/u4izHlsHk8jwalt5m7E2uzP8q9E.jpg,"[14, 18, 53, 9648, 10749]",en,The Curious Case of Benjamin Button,"Tells the story of Benjamin Button, a man who starts aging backwards with bizarre consequences.",2.122304,/4O4INOPtWTfHq3dd5vYTPV0TCwa.jpg,2008-11-24,The Curious Case of Benjamin Button,False,7.16,1636
13223,False,/f2fFY79HLf8FadJwoxHxuHN7Bzn.jpg,[18],en,Gran Torino,"Walt Kowalski, an iron-willed and inflexible Korean War veteran living in a changing world, is forced by his immigrant neighbors to confront his long-held prejudices.",3.009278,/yeBc5vpEiqIAZrbVQnl833GlBEi.jpg,2008-12-11,Gran Torino,False,7.58,1564
8960,False,/2v7jw4jcyubQJhAFPmN01w9kg1t.jpg,"[14, 28]",en,Hancock,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",2.287145,/dsCxSr4w3g2ylhlZg3v5CB5Pid7.jpg,2008-07-01,Hancock,False,6.0,1559
8909,False,/2mbQF4SfdbpqF8LmIxDfJ9RDqQQ.jpg,"[28, 53, 80]",en,Wanted,"Doormat Wesley Gibson discovers that his recently murdered father -- who Wesley never knew -- belonged to a secret guild of assassins. After a leather-clad sexpot drafts Wesley into the society, he hones his innate killing skills and turns avenger.",2.721526,/mUrkppyahzk6koYFekxeu0tmcPd.jpg,2008-06-12,Wanted,False,6.3,1466
217,False,/wJByCdlvHxoAvmktWaI2jSNzHbl.jpg,"[12, 28]",en,Indiana Jones and the Kingdom of the Crystal Skull,"During the Cold War, Soviet agents watch Professor Henry Jones when a young man brings him a coded message from an aged, demented colleague, Henry Oxley. Led by the brilliant Irina Spalko, the Soviets tail Jones and the young man, Mutt, to Peru. With Oxley's code, they find a legendary skull made of a single piece of quartz. If Jones can deliver the skull to its rightful place, all may be well; but if Irina takes it to its origin, she'll gain powers that could endanger the West. Aging professor and young buck join forces with a woman from Jones's past to face the dangers of the jungle, Russia, and the supernatural.",2.918659,/qY1x6v5daMDTr904G3y84WVgpfC.jpg,2008-05-21,Indiana Jones and the Kingdom of the Crystal Skull,False,5.63,1361
12405,False,/aIv7WnkxMWsswEpaeRuNbC32D9d.jpg,"[18, 10749]",en,Slumdog Millionaire,"Jamal Malik is an impoverished Indian teen who becomes a contestant on the Hindi version of ""Who Wants to be A Millionaire?"". After he wins, he is suspected of cheating.",3.332627,/ojgf8iJpS4VX6jJfWGLpuEx0wm.jpg,2008-05-12,Slumdog Millionaire,False,7.48,1352
7191,False,/6kVVfNT0auG6fU5SFQ1zbayNWUC.jpg,"[28, 53, 878]",en,Cloverfield,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",2.329559,/as01o40tJ2FhtheqeXf7bVZ0EQO.jpg,2008-01-15,Cloverfield,False,6.33,1107
12162,False,/3iPnZOXR9mpcK8RwvAW7b7Axr8v.jpg,"[18, 53, 10752]",en,The Hurt Locker,"Forced to play a dangerous game of cat-and-mouse in the chaos of war, an elite Army bomb squad unit must come together in a city where everyone is a potential enemy and every object could be a deadly bomb.",3.316696,/uduCNFTuEcbvhvK8rrvNdf3ahzW.jpg,2008-10-10,The Hurt Locker,False,7.14,1078
10527,False,/anxiz37Z9FPKeuCsJcxViSWmPxg.jpg,"[10751, 16]",en,Madagascar: Escape 2 Africa,"Alex, Marty, Melman, Gloria, King Julien, Maurice, the penguins and the chimps are back and still marooned on Madagascar. In the face of this obstacle, the New Yorkers have hatched a plan so crazy it just might work. With military precision, the penguins have repaired an old crashed plane... sort of.",2.286573,/9mohxwknsHcwFBSAAhoQXwFV5zn.jpg,2008-10-30,Madagascar: Escape 2 Africa,False,6.15,1019
