imdb_id,wiki_page
tt1431045,Deadpool (film)
tt2975590,Batman v Superman: Dawn of Justice
tt3498820,Captain America: Civil War
tt2948356,Zootopia
tt3385516,X-Men: Apocalypse
tt2304933,The 5th Wave (film)
tt3040964,The Jungle Book (1967 film)
tt0918940,The Legend of Tarzan (film)
tt1628841,Independence Day: Resurgence
tt1179933,10 Cloverfield Lane
tt3300542,London Has Fallen
tt2277860,Finding Dory
tt2267968,Kung Fu Panda 3
tt3410834,Allegiant
tt0803096,Warcraft
tt1860213,Dirty Grandpa
tt2404233,Gods of Egypt (film)
tt1292566,How to Be Single
tt0475290,"Hail, Caesar!"
tt3065204,The Conjuring 2
tt2381991,The Huntsman: Winter's War
tt3110958,Now You See Me 2
tt2709768,The Secret Life of Pets
tt3799694,The Nice Guys
tt2660888,Star Trek Beyond
tt3882082,The Boy Is Mine
tt1489889,Central Intelligence
tt4172430,13 Hours: The Secret Soldiers of Benghazi
tt1712261,Triple 9
tt1608290,Zoolander 2
tt2674426,Me Before You (film)
tt4438848,Neighbors 2: Sorority Rising
tt2567026,Alice Through the Looking Glass (1987 film)
tt1289401,Ghostbusters (2016 film)
tt2869728,Ride Along 2
tt1985949,Angry Birds
tt4196776,Jason Bourne
tt3381008,Grimsby
tt1386697,Suicide Squad (film)
tt1374989,Pride and Prejudice and Zombies (film)
tt2025690,The Finest Hours (2016 film)
tt4094724,The Purge: Election Year
tt1083452,Eddie the Eagle (film)
tt3845232,The Abominable Bride
tt2649554,Midnight Special (film)
tt5022702,Hush
tt3416828,Ice Age: Collision Course
tt4769836,The Do-Over
tt3949660,Teenage Mutant Ninja Turtles: Out of the Shadows
tt2241351,Money Monster
tt3797868,The Choice (2016 film)
tt3014866,Criminal procedure
tt3387542,The Forest Rangers (film)
tt3231054,Risen
tt3760922,My Big Fat Greek Wedding 2
tt2702724,The Boss o' Yedden
tt3499096,Race
tt4062536,The Green Room (recording studio)
tt1172049,Demolition
tt3691740,The BFG (1989 film)
