imdb_id,actors,country,director,dvd,imdb_rating,imdb_votes,language,metascore,plot,poster,production,rated,released,runtime,title,tomato_consensus,tomato_image,tomato_meter,tomato_rating,tomato_reviews,tomato_rotten,tomato_user_meter,tomato_user_rating,tomato_user_reviews,writer,year,budget,genres,homepage,tmdb_id,overview,tmdb_popularity,revenue,tagline,tmdb_vote_average,tmdb_vote_count,wiki_page
tt1392190,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne","Australia, USA",George Miller,01 Sep 2015,8.1,"547,810","English, Russian",90,"A woman rebels against a tyrannical ruler in postapocalyptic Australia in search for her home-land with the help of a group of female prisoners, a psychotic worshipper, and a drifter named Max.",http://ia.media-imdb.com/images/M/MV5BMTUyMTE0ODcxNF5BMl5BanBnXkFtZTgwODE4NDQzNTE@._V1_SX300.jpg,Warner Bros.,R,15 May 2015,120 min,Mad Max: Fury Road,"With exhilarating action and a surprising amount of narrative heft, Mad Max: Fury Road brings George Miller's post-apocalyptic franchise roaring vigorously back to life.",certified,97,8.6,354,12,86,4.2,119588,"George Miller, Brendan McCarthy, Nick Lathouris",2015,150000000,"[Action, Adventure, Science Fiction, Thriller]",http://www.madmaxmovie.com/,76341,"An apocalyptic story set in the furthest reaches of our planet, in a stark desert landscape where humanity is broken, and most everyone is crazed fighting for the necessities of life. Within this world exist two rebels on the run who just might be able to restore order. There's Max, a man of action and a man of few words, who seeks peace of mind following the loss of his wife and child in the aftermath of the chaos. And Furiosa, a woman of action and a woman who believes her path to survival may be achieved if she can make it across the desert back to her childhood homeland.",17.391762,378436354,What a Lovely Day.,7.3,5062,Mad Max: Fury Road
tt0369610,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio",USA,Colin Trevorrow,20 Oct 2015,7.0,"416,573",English,59,A new theme park is built on the original site of Jurassic Park. Everything is going well until the park's newest attraction - a genetically modified giant stealth killing machine - escapes containment and goes on a killing spree.,http://ia.media-imdb.com/images/M/MV5BMTQ5MTE0MTk3Nl5BMl5BanBnXkFtZTgwMjczMzk2NTE@._V1_SX300.jpg,Universal Pictures,PG-13,12 Jun 2015,124 min,Jurassic World,"Jurassic World can't match the original for sheer inventiveness and impact, but it works in its own right as an entertaining -- and visually dazzling -- popcorn thriller.",fresh,72,6.7,295,84,78,3.9,222015,"Rick Jaffa (screenplay), Amanda Silver (screenplay), Colin Trevorrow (screenplay), Derek Connolly (screenplay), Rick Jaffa (story), Amanda Silver (story), Michael Crichton (characters)",2015,150000000,"[Action, Adventure, Science Fiction, Thriller]",http://www.jurassicworld.com/,135397,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",15.079174,1513528810,The park is open.,6.6,4809,Jurassic World
tt2488496,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver",USA,J.J. Abrams,05 Apr 2016,8.2,"561,678",English,81,"Three decades after the defeat of the Galactic Empire, a new threat arises. The First Order attempts to rule the galaxy and only a ragtag group of heroes can stop them, along with the help of the Resistance.",http://ia.media-imdb.com/images/M/MV5BOTAzODEzNDAzMl5BMl5BanBnXkFtZTgwMDU1MTgzNzE@._V1_SX300.jpg,Walt Disney Pictures,PG-13,18 Dec 2015,136 min,Star Wars: The Force Awakens,"Packed with action and populated by both familiar faces and fresh blood, The Force Awakens successfully recalls the series' former glory while injecting it with renewed energy.",certified,92,8.2,358,28,89,4.3,217825,"Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)",2015,200000000,"[Action, Adventure, Science Fiction, Fantasy]",http://www.starwars.com/films/star-wars-episode-vii,140607,"Thirty years after defeating the Galactic Empire, Han Solo and his allies face a new threat from the evil Kylo Ren and his army of Stormtroopers.",7.435354,2068178225,Every generation has a story.,7.6,4575,Star Wars: The Force Awakens
tt2395427,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans",USA,Joss Whedon,02 Oct 2015,7.5,"459,751",English,66,"When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's Mightiest Heroes to stop the villainous Ultron from enacting his terrible plans.",http://ia.media-imdb.com/images/M/MV5BMTM4OGJmNWMtOTM4Ni00NTE3LTg3MDItZmQxYjc4N2JhNmUxXkEyXkFqcGdeQXVyNTgzMDMzMTg@._V1_SX300.jpg,Walt Disney Pictures,PG-13,01 May 2015,141 min,Avengers: Age of Ultron,"Exuberant and eye-popping, Avengers: Age of Ultron serves as an overstuffed but mostly satisfying sequel, reuniting its predecessor's unwieldy cast with a few new additions and a worthy foe.",certified,75,6.7,307,77,84,4.1,282188,"Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)",2015,250000000,"[Action, Adventure, Science Fiction]",http://marvel.com/movies/movie/193/avengers_age_of_ultron,99861,"When Tony Stark tries to jumpstart a dormant peacekeeping program, things go awry and Earth’s Mightiest Heroes are put to the ultimate test as the fate of the planet hangs in the balance. As the villainous Ultron emerges, it is up to The Avengers to stop him from enacting his terrible plans, and soon uneasy alliances and unexpected action pave the way for an epic and unique global adventure.",4.558371,1405035767,A New Age Has Come.,7.4,3850,Avengers: Age of Ultron
tt3659388,"Matt Damon, Jessica Chastain, Kristen Wiig, Jeff Daniels","USA, UK",Ridley Scott,12 Jan 2016,8.1,"467,360","English, Mandarin",80,"An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.",http://ia.media-imdb.com/images/M/MV5BMTc2MTQ3MDA1Nl5BMl5BanBnXkFtZTgwODA3OTI4NjE@._V1_SX300.jpg,20th Century Fox,PG-13,02 Oct 2015,144 min,The Martian,"Smart, thrilling, and surprisingly funny, The Martian offers a faithful adaptation of the bestselling book that brings out the best in leading man Matt Damon and director Ridley Scott.",certified,92,7.8,310,25,92,4.3,126198,"Drew Goddard (screenplay), Andy Weir (book)",2015,108000000,"[Drama, Adventure, Science Fiction]",http://www.foxmovies.com/movies/the-martian,286217,"During a manned mission to Mars, Astronaut Mark Watney is presumed dead after a fierce storm and left behind by his crew. But Watney has survived and finds himself stranded and alone on the hostile planet. With only meager supplies, he must draw upon his ingenuity, wit and spirit to subsist and find a way to signal to Earth that he is alive.",8.373647,595380321,Bring Him Home,7.6,3828,The Martian (film)
tt2096673,"Amy Poehler, Phyllis Smith, Richard Kind, Bill Hader",USA,"Pete Docter, Ronnie Del Carmen",03 Nov 2015,8.3,"342,328",English,94,"After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",http://ia.media-imdb.com/images/M/MV5BOTgxMDQwMDk0OF5BMl5BanBnXkFtZTgwNjU5OTg2NDE@._V1_SX300.jpg,Disney/Pixar,PG,19 Jun 2015,95 min,Inside Out,"Inventive, gorgeously animated, and powerfully moving, Inside Out is another outstanding addition to the Pixar library of modern animated classics.",certified,98,8.9,315,6,89,4.3,129878,"Pete Docter (original story by), Ronnie Del Carmen (original story by), Pete Docter (screenplay), Meg LeFauve (screenplay), Josh Cooley (screenplay), Michael Arndt (additional story material by), Bill Hader (additional dialogue by), Amy Poehler (additional dialogue by), Simon Rich (additional story material by)",2015,175000000,"[Comedy, Animation, Family]",http://movies.disney.com/inside-out,150540,"Growing up can be a bumpy road, and it's no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Like all of us, Riley is guided by her emotions - Joy, Fear, Anger, Disgust and Sadness. The emotions live in Headquarters, the control center inside Riley's mind, where they help advise her through everyday life. As Riley and her emotions struggle to adjust to a new life in San Francisco, turmoil ensues in Headquarters. Although Joy, Riley's main and most important emotion, tries to keep things positive, the emotions conflict on how best to navigate a new city, house and school.",5.63192,857427711,Meet the little voices inside your head.,8.0,3346,Inside Out (2015 film)
tt0478970,"Paul Rudd, Michael Douglas, Evangeline Lilly, Corey Stoll",USA,Peyton Reed,08 Dec 2015,7.4,"310,184",English,64,"Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.",http://ia.media-imdb.com/images/M/MV5BMjM2NTQ5Mzc2M15BMl5BanBnXkFtZTgwNTcxMDI2NTE@._V1_SX300.jpg,Disney/Marvel,PG-13,17 Jul 2015,117 min,Ant-Man,"Led by a charming performance from Paul Rudd, Ant-Man offers Marvel thrills on an appropriately smaller scale -- albeit not as smoothly as its most successful predecessors.",certified,81,6.8,270,52,86,4.0,160345,"Edgar Wright (screenplay), Joe Cornish (screenplay), Adam McKay (screenplay), Paul Rudd (screenplay), Edgar Wright (story by), Joe Cornish (story by), Stan Lee (based on the comics by), Larry Lieber (based on the comics by), Jack Kirby (based on the comics by)",2015,130000000,"[Science Fiction, Action, Adventure]",http://marvel.com/movies/movie/180/ant-man,102899,"Armed with the astonishing ability to shrink in scale but increase in strength, con-man Scott Lang must embrace his inner-hero and help his mentor, Dr. Hank Pym, protect the secret behind his spectacular Ant-Man suit from a new generation of towering threats. Against seemingly insurmountable obstacles, Pym and Lang must plan and pull off a heist that will save the world.",6.030112,518178306,Heroes Don't Get Any Bigger,6.9,3327,Ant-Man (film)
tt1663202,"Leonardo DiCaprio, Tom Hardy, Domhnall Gleeson, Will Poulter","USA, Hong Kong, Taiwan, Canada",Alejandro G. Iñárritu,19 Apr 2016,8.1,"399,974","English, Pawnee, French",76,A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.,http://ia.media-imdb.com/images/M/MV5BMjU4NDExNDM1NF5BMl5BanBnXkFtZTgwMDIyMTgxNzE@._V1_SX300.jpg,20th Century Fox,R,08 Jan 2016,156 min,The Revenant,"As starkly beautiful as it is harshly uncompromising, The Revenant uses Leonardo DiCaprio's committed performance as fuel for an absorbing drama that offers punishing challenges -- and rich rewards.",certified,82,7.9,311,56,85,4.1,99939,"Mark L. Smith (screenplay), Alejandro G. Iñárritu (screenplay), Michael Punke (based in part on the novel by)",2015,135000000,"[Western, Drama, Adventure, Thriller]",http://www.foxmovies.com/movies/the-revenant,281957,"In the 1820s, a frontiersman, Hugh Glass, sets out on a path of vengeance against those who left him for dead after a bear mauling.",6.397272,532925985,"(n. One who has returned, as if from the dead.)",7.1,3153,The Revenant (2015 film)
tt2379713,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes","UK, USA",Sam Mendes,09 Feb 2016,6.8,"269,609","English, Spanish, Italian, German, French",60,"A cryptic message from Bond's past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",http://ia.media-imdb.com/images/M/MV5BMjM2Nzg4MzkwOF5BMl5BanBnXkFtZTgwNzA0OTE3NjE@._V1_SX300.jpg,Sony Pictures,PG-13,06 Nov 2015,148 min,Spectre,"Spectre nudges Daniel Craig's rebooted Bond closer to the glorious, action-driven spectacle of earlier entries, although it's admittedly reliant on established 007 formula.",fresh,65,6.5,305,107,62,3.5,104171,"John Logan (screenplay), Neal Purvis (screenplay), Robert Wade (screenplay), Jez Butterworth (screenplay), John Logan (story), Neal Purvis (story), Robert Wade (story), Ian Fleming (characters)",2015,245000000,"[Action, Adventure, Crime]",http://www.sonypictures.com/movies/spectre/,206647,"A cryptic message from Bond’s past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE.",6.452969,880674609,A Plan No One Escapes,6.2,2885,Spectre (2015 film)
tt2293640,"Sandra Bullock, Jon Hamm, Michael Keaton, Allison Janney",USA,"Kyle Balda, Pierre Coffin",08 Dec 2015,6.4,"141,188","English, Spanish",56,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",http://ia.media-imdb.com/images/M/MV5BMTg2MTMyMzU0M15BMl5BanBnXkFtZTgwOTU3ODk4NTE@._V1_SX300.jpg,Universal Pictures,PG,10 Jul 2015,91 min,Minions,"The Minions' brightly colored brand of gibberish-fueled insanity stretches to feature length in their self-titled Despicable Me spinoff, with uneven but often hilarious results.",rotten,56,5.8,196,86,49,3.3,134953,Brian Lynch,2015,74000000,"[Family, Animation, Adventure, Comedy]",http://www.minionsmovie.com/,211672,"Minions Stuart, Kevin and Bob are recruited by Scarlet Overkill, a super-villain who, alongside her inventor husband Herb, hatches a plot to take over the world.",7.839636,1156730962,"Before Gru, they had a history of bad bosses",6.6,2645,Minions (film)
